month,Org Code,Org name,Parent Org,type1_attendances,type1_over_4hrs,type1_perf_pct,dta_12hr_waits,in_trend_population,source_file
2025-10-01,8J094,BADGER LTD,NHS ENGLAND MIDLANDS ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,AAH,TETBURY HOSPITAL TRUST LTD,NHS ENGLAND SOUTH WEST ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,ACH01,WHITSTABLE MEDICAL PRACTICE,NHS ENGLAND SOUTH EAST ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,AD913,BECKENHAM BEACON UCC,NHS ENGLAND LONDON,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,AJN,WORKINGTON HEALTH LIMITED,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,AQM01,FAVERSHAM MEDICAL PRACTICE MIU,NHS ENGLAND SOUTH EAST ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,AQN04,PHL LYMINGTON UTC,NHS ENGLAND SOUTH EAST ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,ARN03,LOCAL CARE DIRECT,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,C82009,MARKET HARBOROUGH MED.CTR,NHS ENGLAND MIDLANDS ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,C82038,LATHAM HOUSE MEDICAL PRACTICE,NHS ENGLAND MIDLANDS ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,C83023,SLEAFORD MEDICAL GROUP,NHS ENGLAND MIDLANDS ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
2025-10-01,DJV01,HERNE BAY HEALTH CARE LTD,NHS ENGLAND SOUTH EAST ,0,0,,0,False,Monthly-AE-October-2025-revised-fly02sk.csv
